Year,Female Total,Male Total
2011,97,96
2012,97487,95208
2013,223372,212872
2014,266479,256349
2015,262421,253499
2016,259452,252092
2017,260415,255110
2018,275792,272558
2019,266392,265038
2020,331658,331132
2021,336780,336172
2022,331346,329546
2023,326074,323017
2024,307820,303653
